date,open,high,low,close,volume,score,state,phase,reasons
2025-03-24,4931.16,4939.75,4854.94,4918.64,1219340116.0,5,空,防守,风险缓冲 +15；收盘位于日内上60% +5；成交量高于5日均量 +8；下跌日放量 -8；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-03-25,4917.0,4930.47,4884.67,4899.42,1040547663.0,0,空,防守,风险缓冲 +15；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-03-26,4891.21,4928.96,4891.21,4905.47,973229318.0,10,空,防守,风险缓冲 +15；近3日低点抬高 +5；当日上涨 +5；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-03-27,4892.97,4942.55,4863.65,4906.85,964426841.0,5,空,防守,风险缓冲 +15；当日上涨 +5；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-03-28,4903.07,4913.97,4863.66,4868.75,944701458.0,0,空,防守,风险缓冲 +15；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-03-31,4846.6,4864.12,4786.24,4826.86,1017504511.0,0,空,防守,风险缓冲 +15；成交量高于5日均量 +8；下跌日放量 -8；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-04-01,4836.02,4870.53,4833.93,4844.53,909988163.0,5,空,防守,风险缓冲 +15；当日上涨 +5；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-04-02,4839.12,4873.51,4837.57,4847.56,791883821.0,10,空,防守,风险缓冲 +15；近3日低点抬高 +5；当日上涨 +5；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-04-03,4796.18,4851.08,4787.75,4809.73,906459083.0,0,空,防守,风险缓冲 +15；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-04-07,4546.0,4584.54,4298.05,4365.18,1375059912.0,0,空,防守,风险缓冲 +15；成交量高于5日均量 +8；成交量高于20日均量 +6；下跌日放量 -8；放量冲高回落 -10；收盘跌破MA10 -5；收盘跌破MA20 -10；放量大跌 -10；近3日累计跌幅<=-3% -10
2025-04-08,4358.74,4430.04,4338.35,4409.98,1459463927.0,20,空,防守,风险缓冲 +15；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6；收盘跌破MA10 -5；收盘跌破MA20 -10；近3日累计跌幅<=-3% -10
2025-04-09,4346.44,4499.47,4252.82,4486.47,1530963008.0,30,空,防守,风险缓冲 +15；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-04-10,4565.49,4616.73,4542.22,4571.47,1367162008.0,35,空,防守,风险缓冲 +15；收盘价站上MA5 +10；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-04-11,4552.55,4633.44,4548.98,4603.03,1095540828.0,35,空,防守,风险缓冲 +15；收盘价站上MA5 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-04-14,4643.61,4669.47,4630.44,4643.07,1069951051.0,45,空,防守,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；创近5日收盘新高 +10；近3日低点抬高 +5；当日上涨 +5；收盘跌破MA20 -10
2025-04-15,4642.06,4645.94,4608.86,4637.01,917241100.0,30,空,防守,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘位于日内上60% +5；收盘跌破MA20 -10
2025-04-16,4628.09,4628.39,4551.67,4612.72,959657628.0,20,空,防守,风险缓冲 +15；收盘价站上MA10 +10；收盘位于日内上60% +5；收盘跌破MA20 -10
2025-04-17,4589.04,4639.93,4586.32,4617.88,852883822.0,20,空,防守,风险缓冲 +15；收盘价站上MA10 +10；当日上涨 +5；收盘跌破MA20 -10
2025-04-18,4607.26,4626.12,4590.13,4616.84,824088891.0,25,空,防守,风险缓冲 +15；收盘价站上MA10 +10；近3日低点抬高 +5；收盘位于日内上60% +5；收盘跌破MA20 -10
2025-04-21,4611.0,4671.17,4599.14,4668.91,894974597.0,64,转,观察,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；上涨日放量 +6；收盘跌破MA20 -10
2025-04-22,4663.4,4684.87,4658.98,4665.27,951267365.0,30,空,防守,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；近3日低点抬高 +5；成交量高于5日均量 +8；下跌日放量 -8；收盘跌破MA20 -10
2025-04-23,4686.34,4699.46,4669.43,4681.08,1003824369.0,69,转,观察,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；当日上涨 +5；成交量高于5日均量 +8；上涨日放量 +6；放量冲高回落 -10
2025-04-24,4678.99,4696.7,4642.83,4658.58,946324836.0,15,空,防守,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；成交量高于5日均量 +8；下跌日放量 -8；放量冲高回落 -10；收盘跌破MA20 -10
2025-04-25,4665.36,4692.12,4653.26,4667.56,964701689.0,54,转,观察,风险缓冲 +15；收盘价站上MA10 +10；收盘价站上MA20 +10；当日上涨 +5；成交量高于5日均量 +8；上涨日放量 +6
2025-04-28,4664.27,4664.53,4633.04,4639.9,936829164.0,10,空,防守,风险缓冲 +15；MA5>MA10>MA20 +10；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-04-29,4628.12,4661.01,4620.82,4649.04,866119545.0,55,转,观察,风险缓冲 +15；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；收盘位于日内上60% +5；当日上涨 +5
2025-04-30,4651.32,4678.13,4649.78,4666.8,968549281.0,79,多,试攻,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；上涨日放量 +6
2025-05-06,4698.67,4751.9,4694.62,4751.8,1082387256.0,100,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
2025-05-07,4811.2,4818.92,4745.33,4775.75,1196808622.0,95,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
2025-05-08,4760.75,4815.61,4755.42,4807.39,1041665521.0,94,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；上涨日放量 +6
2025-05-09,4802.6,4802.6,4758.56,4773.33,968654046.0,60,转,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；近3日低点抬高 +5
2025-05-12,4800.79,4834.22,4793.55,4834.22,971603299.0,80,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5
2025-05-13,4870.09,4870.09,4825.05,4831.24,988159648.0,66,转,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；近3日低点抬高 +5；成交量高于20日均量 +6
2025-05-14,4828.0,4888.83,4815.35,4864.48,1042249910.0,95,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
2025-05-15,4853.7,4853.7,4805.36,4807.4,953482199.0,45,转,观察,风险缓冲 +15；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10
2025-05-16,4795.97,4817.61,4792.05,4805.37,895213295.0,45,转,观察,风险缓冲 +15；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10
2025-05-19,4804.57,4818.21,4774.53,4812.05,918165176.0,55,转,观察,风险缓冲 +15；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；收盘位于日内上60% +5；当日上涨 +5
2025-05-20,4817.05,4852.42,4807.68,4843.57,962428555.0,79,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；上涨日放量 +6
2025-05-21,4840.09,4857.68,4836.35,4846.77,951909955.0,89,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；当日上涨 +5；成交量高于5日均量 +8；上涨日放量 +6
2025-05-22,4835.74,4849.63,4812.97,4816.98,907662923.0,30,空,防守,风险缓冲 +15；收盘价站上MA20 +10；MA5>MA10>MA20 +10；收盘跌破MA10 -5
2025-05-23,4811.74,4845.16,4771.62,4771.62,924130654.0,20,空,防守,风险缓冲 +15；收盘价站上MA20 +10；收盘跌破MA10 -5
2025-05-26,4767.27,4793.24,4751.39,4776.18,801676176.0,25,空,防守,风险缓冲 +15；收盘价站上MA20 +10；当日上涨 +5；收盘跌破MA10 -5
2025-05-27,4772.13,4773.97,4744.34,4761.07,810553890.0,0,空,防守,风险缓冲 +15；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-05-28,4762.97,4771.09,4744.82,4751.01,838108141.0,0,空,防守,风险缓冲 +15；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-05-29,4749.61,4809.76,4748.76,4805.66,967529454.0,90,多,试攻,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
2025-05-30,4794.3,4795.18,4762.45,4764.6,939197525.0,0,空,防守,风险缓冲 +15；近3日低点抬高 +5；成交量高于5日均量 +8；下跌日放量 -8；放量冲高回落 -10；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-06-03,4751.05,4794.81,4751.05,4788.37,919944250.0,34,空,防守,风险缓冲 +15；收盘价站上MA5 +10；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；上涨日放量 +6；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-06-04,4791.18,4824.82,4791.18,4821.11,930842778.0,79,多,试攻,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；创近5日收盘新高 +10；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；上涨日放量 +6
2025-06-05,4823.93,4846.6,4809.56,4840.08,989999365.0,90,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
2025-06-06,4838.71,4844.93,4825.5,4834.86,901780538.0,50,转,观察,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；近3日低点抬高 +5
2025-06-09,4841.39,4875.76,4838.11,4870.43,1000354448.0,90,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
2025-06-10,4872.57,4873.41,4801.56,4836.67,1137749108.0,41,转,主升,风险缓冲 +15；收盘价站上MA10 +10；收盘价站上MA20 +10；成交量高于5日均量 +8；成交量高于20日均量 +6；下跌日放量 -8
2025-06-11,4839.72,4885.71,4839.72,4866.33,999143714.0,66,转,观察,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；当日上涨 +5；成交量高于20日均量 +6
2025-06-12,4854.47,4876.4,4844.89,4868.92,973772477.0,76,多,主升,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；成交量高于20日均量 +6
2025-06-13,4853.85,4859.19,4803.48,4813.2,1163749315.0,6,空,防守,风险缓冲 +15；MA5>MA10>MA20 +10；成交量高于5日均量 +8；成交量高于20日均量 +6；下跌日放量 -8；放量冲高回落 -10；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-06-16,4799.65,4838.99,4799.65,4838.23,944511761.0,55,转,观察,风险缓冲 +15；收盘价站上MA10 +10；收盘价站上MA20 +10；MA5>MA10>MA20 +10；收盘位于日内上60% +5；当日上涨 +5
2025-06-17,4841.55,4850.54,4819.96,4832.05,952828523.0,36,空,防守,风险缓冲 +15；收盘价站上MA20 +10；MA5>MA10>MA20 +10；成交量高于20日均量 +6；收盘跌破MA10 -5
2025-06-18,4826.02,4834.73,4804.79,4830.93,935073968.0,25,空,防守,风险缓冲 +15；收盘价站上MA20 +10；收盘位于日内上60% +5；收盘跌破MA10 -5
2025-06-19,4822.5,4830.33,4761.1,4772.14,992913876.0,6,空,防守,风险缓冲 +15；成交量高于20日均量 +6；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-06-20,4765.93,4786.43,4752.44,4754.83,837761802.0,0,空,防守,风险缓冲 +15；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-06-23,4731.75,4801.53,4731.74,4794.14,894581330.0,10,空,防守,风险缓冲 +15；收盘位于日内上60% +5；当日上涨 +5；收盘跌破MA10 -5；收盘跌破MA20 -10
2025-06-24,4799.03,4868.23,4799.03,4868.08,1097552611.0,85,多,试攻,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；创近5日收盘新高 +10；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
2025-06-25,4873.14,4936.47,4867.23,4933.59,1199124745.0,90,多,试攻,风险缓冲 +15；收盘价站上MA5 +10；收盘价站上MA10 +10；收盘价站上MA20 +10；创近5日收盘新高 +10；近3日低点抬高 +5；收盘位于日内上60% +5；当日上涨 +5；成交量高于5日均量 +8；成交量高于20日均量 +6；上涨日放量 +6
